,minX,maxY,maxX,minY
126,120.866804,31.812716,120.876804,31.802716
127,120.866804,31.802716,120.876804,31.792716
128,120.866804,31.792716,120.876804,31.782716
129,120.866804,31.782716,120.876804,31.772716
130,120.866804,31.772716,120.876804,31.762716
131,120.866804,31.762716,120.876804,31.752716
132,120.866804,31.752716,120.876804,31.742716
133,120.866804,31.742716,120.876804,31.732716
134,120.866804,31.732716,120.876804,31.722716
135,120.866804,31.722716,120.876804,31.712716
136,120.866804,31.712716,120.876804,31.702716
137,120.866804,31.702716,120.876804,31.692716
138,120.866804,31.692716,120.876804,31.682716
139,120.866804,31.682716,120.876804,31.672716
140,120.866804,31.672716,120.876804,31.662716
141,120.866804,31.662716,120.876804,31.652716
142,120.866804,31.652716,120.876804,31.642716
143,120.866804,31.642716,120.876804,31.632716
144,120.866804,31.632716,120.876804,31.622716
145,120.866804,31.622716,120.876804,31.612716
146,120.866804,31.612716,120.876804,31.602716
147,120.866804,31.602716,120.876804,31.592716
148,120.866804,31.592716,120.876804,31.582716
149,120.866804,31.582716,120.876804,31.572716
150,120.866804,31.572716,120.876804,31.562716
151,120.866804,31.562716,120.876804,31.552716
152,120.866804,31.552716,120.876804,31.542716
153,120.866804,31.542716,120.876804,31.532716
154,120.866804,31.532716,120.876804,31.522716
155,120.866804,31.522716,120.876804,31.512716
156,120.866804,31.512716,120.876804,31.502716
157,120.866804,31.502716,120.876804,31.492716
158,120.866804,31.492716,120.876804,31.482716
159,120.866804,31.482716,120.876804,31.472716
160,120.866804,31.472716,120.876804,31.462716
161,120.866804,31.462716,120.876804,31.452716
162,120.866804,31.452716,120.876804,31.442716
163,120.866804,31.442716,120.876804,31.432716
164,120.866804,31.432716,120.876804,31.422716
165,120.866804,31.422716,120.876804,31.412716
166,120.866804,31.412716,120.876804,31.402716
167,120.866804,31.402716,120.876804,31.392716
168,120.866804,31.392716,120.876804,31.382716
169,120.866804,31.382716,120.876804,31.372716
170,120.866804,31.372716,120.876804,31.362716
171,120.866804,31.362716,120.876804,31.352716
172,120.866804,31.352716,120.876804,31.342716
173,120.866804,31.342716,120.876804,31.332716
174,120.866804,31.332716,120.876804,31.322716
175,120.866804,31.322716,120.876804,31.312716
176,120.866804,31.312716,120.876804,31.302716
177,120.866804,31.302716,120.876804,31.292716
178,120.866804,31.292716,120.876804,31.282716
179,120.866804,31.282716,120.876804,31.272716
180,120.866804,31.272716,120.876804,31.262716
181,120.866804,31.262716,120.876804,31.252716
182,120.866804,31.252716,120.876804,31.242716
183,120.866804,31.242716,120.876804,31.232716
184,120.866804,31.232716,120.876804,31.222716
185,120.866804,31.222716,120.876804,31.212716
186,120.866804,31.212716,120.876804,31.202716
187,120.866804,31.202716,120.876804,31.192716
188,120.866804,31.192716,120.876804,31.182716
189,120.866804,31.182716,120.876804,31.172716
190,120.866804,31.172716,120.876804,31.162716
191,120.866804,31.162716,120.876804,31.152716
192,120.866804,31.152716,120.876804,31.142716
193,120.866804,31.142716,120.876804,31.132716
194,120.866804,31.132716,120.876804,31.122716
195,120.866804,31.122716,120.876804,31.112716
196,120.866804,31.112716,120.876804,31.102716
197,120.866804,31.102716,120.876804,31.092716
198,120.866804,31.092716,120.876804,31.082716
199,120.866804,31.082716,120.876804,31.072716
200,120.866804,31.072716,120.876804,31.062716
201,120.866804,31.062716,120.876804,31.052716
202,120.866804,31.052716,120.876804,31.042716
203,120.866804,31.042716,120.876804,31.032716
204,120.866804,31.032716,120.876804,31.022716
205,120.866804,31.022716,120.876804,31.012716
206,120.866804,31.012716,120.876804,31.002716
207,120.866804,31.002716,120.876804,30.992716
208,120.866804,30.992716,120.876804,30.982716
209,120.866804,30.982716,120.876804,30.972716
210,120.866804,30.972716,120.876804,30.962716
211,120.866804,30.962716,120.876804,30.952716
212,120.866804,30.952716,120.876804,30.942716
213,120.866804,30.942716,120.876804,30.932716
214,120.866804,30.932716,120.876804,30.922716
215,120.866804,30.922716,120.876804,30.912716
216,120.866804,30.912716,120.876804,30.902716
217,120.866804,30.902716,120.876804,30.892716
218,120.866804,30.892716,120.876804,30.882716
219,120.866804,30.882716,120.876804,30.872716
220,120.866804,30.872716,120.876804,30.862716
221,120.866804,30.862716,120.876804,30.852716
